GENE	HSQ	MODEL	MODELCV.R2	POP	VG
PMVK	0.142069	susie	0.084	aa	0.022639
ZBTB7B	0.071037	top1	0.069	aa	0.010777
ADAM15	0.022222	top1	0.0052	aa	0.00398
MUC1	0.024281	blup	0.0062	aa	0.005381
THBS3	0.131398	blup	0.053	aa	0.027381
GBAP1	0.391599	blup	0.24	aa	0.263283
GBA	0.098124	top1	0.094	aa	0.024173
SCAMP3	0.175021	susie	0.17	aa	0.041236
YY1AP1	0.191823	blup	0.16	aa	0.052623
DAP3	0.108235	blup	0.03	aa	0.017488
RIT1	0.128298	top1	0.033	aa	0.022309
UBQLN4	0.016665	top1	0.022	aa	0.006242
SEMA4A	0.085656	susie	0.039	aa	0.020335
PAQR6	0.108425	enet	0.049	aa	0.020041
SMG5	0.140275	top1	0.096	aa	0.02531
C1orf85	0.093874	susie	0.093	aa	0.033912
CCT3	0.101391	lasso	0.086	aa	0.012798
IQGAP3	0.037812	top1	0.047	aa	0.00884
APOA1BP	0.098521	top1	0.026	aa	0.024709
GPATCH4	0.457786	enet	0.34	aa	0.073634
ISG20L2	0.095815	top1	0.04	aa	0.009172
HDGF	0.0347	lasso	0.0096	aa	0.003852
ETV3L	0.159009	susie	0.11	aa	0.08193
FCRL3	0.116313	enet	0.063	aa	0.05997
DCAF8	0.539932	enet	0.51	aa	0.207299
PEA15	0.079545	lasso	0.023	aa	0.01868
SLAMF6	0.194451	blup	0.071	aa	0.055752
CD84	0.179234	lasso	0.1	aa	0.100585
CD48	0.063273	top1	0.032	aa	0.020321
SLAMF7	0.235588	susie	0.15	aa	0.074838
LY9	0.024162	top1	0.033	aa	0.00862
CD244	0.078779	top1	0.034	aa	0.024295
USF1	0.062432	top1	0.043	aa	0.007224
KLHDC9	0.034191	top1	0.039	aa	0.006968
FCER1G	0.075474	lasso	0.018	aa	0.048272
SDHC	0.15362	enet	0.15	aa	0.083251
FCGR2A	0.103315	susie	0.053	aa	0.064974
FCGR2B	0.319646	top1	0.14	aa	0.136697
FCRLA	0.641624	enet	0.52	aa	0.261745
FCRLB	0.066592	top1	0.023	aa	0.020095
DUSP12	0.206816	lasso	0.13	aa	0.044323
ATF6	0.177389	enet	0.11	aa	0.02441
RGS5	0.237395	enet	0.18	aa	0.152828
NUF2	0.358347	top1	0.29	aa	0.027328
MGST3	0.236396	susie	0.22	aa	0.102238
UCK2	0.082574	susie	0.024	aa	0.010128
TADA1	0.034877	top1	0.0013	aa	0.009075
ILDR2	0.122625	blup	0.044	aa	0.073412
MAEL	0.055419	top1	0.02	aa	0.026037
MPZL1	0.15821	enet	0.14	aa	0.069209
DCAF6	0.039235	top1	0.01	aa	0.008288
TIPRL	0.030815	top1	0.042	aa	0.003107
TBX19	0.257819	susie	0.077	aa	0.106179
ATP1B1	0.56979	enet	0.32	aa	0.217791
NME7	0.323781	lasso	0.18	aa	0.121656
SLC19A2	0.156669	blup	0.017	aa	0.062263
SELP	0.041097	blup	0.0027	aa	0.015521
SELL	0.108965	enet	0.046	aa	0.025011
GORAB	0.052338	enet	0.022	aa	0.01191
PRRX1	0.125968	susie	0.079	aa	0.050994
VAMP4	0.231372	susie	0.095	aa	0.058497
METTL13	0.11453	blup	0.028	aa	0.0152
PIGC	0.092274	enet	0.049	aa	0.032672
CENPL	0.635698	susie	0.4	aa	0.218856
RABGAP1L	0.131595	lasso	0.082	aa	0.024753
CACYBP	0.186216	susie	0.06	aa	0.078268
KIAA0040	0.077028	lasso	0.0035	aa	0.018585
FAM20B	0.077398	lasso	0.046	aa	0.020777
ABL2	0.305209	enet	0.087	aa	0.187633
SOAT1	0.055738	enet	0.017	aa	0.010407
QSOX1	0.044005	enet	0.014	aa	0.017638
STX6	0.174931	susie	0.14	aa	0.049229
IER5	0.131974	enet	0.045	aa	0.030405
CACNA1E	0.486641	enet	0.43	aa	0.293773
GLUL	0.138713	susie	0.12	aa	0.064986
RNASEL	0.144342	susie	0.11	aa	0.055854
LAMC1	0.246248	susie	0.25	aa	0.122242
LAMC2	0.087456	susie	0.036	aa	0.018658
NCF2	0.121372	susie	0.075	aa	0.031623
ARPC5	0.086892	blup	0.05	aa	0.027836
TSEN15	0.103517	top1	0.05	aa	0.026889
EDEM3	0.200025	enet	0.15	aa	0.03682
FAM129A	0.148388	lasso	0.1	aa	0.026656
IVNS1ABP	0.649824	enet	0.35	aa	0.401683
RGS13	0.16566	top1	0.16	aa	0.08533
RGS2	0.231721	top1	0.19	aa	0.113799
UCHL5	0.026316	top1	0.0042	aa	0.002503
TROVE2	0.022606	top1	0.041	aa	0.003027
GLRX2	0.024566	enet	0.0092	aa	0.00793
ZBTB41	0.09597	lasso	0.087	aa	0.009565
DDX59	0.478087	lasso	0.51	aa	0.178155
TIMM17A	0.036124	lasso	0.027	aa	0.003613
RNPEP	0.453082	enet	0.33	aa	0.247623
PTPN7	0.019672	susie	0.015	aa	0.004741
UBE2T	0.010422	top1	0.01	aa	0.001113
RABIF	0.17337	lasso	0.099	aa	0.062907
KLHL12	0.157289	blup	0.028	aa	0.060304
CYB5R1	0.122924	top1	0.061	aa	0.037697
CHI3L1	0.294095	enet	0.21	aa	0.130566
MDM4	0.082977	top1	0.066	aa	0.00936
TMEM81	0.080457	blup	0.022	aa	0.066079
RBBP5	0.065552	top1	0.013	aa	0.012137
DSTYK	0.15421	enet	0.032	aa	0.063108
SLC45A3	0.060463	blup	0.0086	aa	0.021986
RAB7L1	0.085755	blup	0.034	aa	0.02518
SLC41A1	0.294731	lasso	0.26	aa	0.139386
PM20D1	0.158243	enet	0.13	aa	0.094862
DYRK3	0.071942	susie	7.9e-4	aa	0.021403
IL19	0.091788	susie	0.037	aa	0.047448
CR2	0.014626	top1	0.012	aa	0.004764
CD46	0.128611	susie	0.097	aa	0.017173
IRF6	0.097557	blup	0.031	aa	0.027467
HHAT	0.119659	blup	0.021	aa	0.046976
RCOR3	0.030136	top1	-0.0015	aa	0.004453
NEK2	0.046382	top1	0.033	aa	0.005374
LPGAT1	0.06744	blup	0.018	aa	0.020083
DTL	0.06816	blup	0.0041	aa	0.005152
PPP2R5A	0.100458	blup	0.029	aa	0.020896
TMEM206	0.020837	top1	0.0085	aa	0.012047
BATF3	0.012687	susie	8.7e-4	aa	0.004134
NSL1	0.157236	susie	0.13	aa	0.01944
VASH2	0.124536	enet	0.065	aa	0.048173
ANGEL2	0.153247	susie	0.06	aa	0.020678
SMYD2	0.154838	enet	0.03	aa	0.034411
CENPF	0.110281	blup	0.026	aa	0.008025
GPATCH2	0.143428	lasso	0.092	aa	0.032171
RRP15	0.36791	enet	0.26	aa	0.074442
LYPLAL1	0.092878	blup	0.036	aa	0.019029
EPRS	0.120871	susie	0.083	aa	0.008292
BPNT1	0.048443	top1	0.014	aa	0.014493
RAB3GAP2	0.217474	susie	0.17	aa	0.035472
C1orf115	0.38843	lasso	0.25	aa	0.284708
DUSP10	0.075178	blup	0.021	aa	0.019873
TAF1A	0.20419	top1	0.12	aa	0.035354
CAPN2	0.220612	lasso	0.14	aa	0.088099
FBXO28	0.092821	enet	0.055	aa	0.023015
DEGS1	0.003434	top1	0.0084	aa	0.001322
NVL	0.325127	enet	0.3	aa	0.051198
CNIH4	0.145821	susie	0.11	aa	0.078148
DNAH14	0.065053	blup	0.027	aa	0.013709
TMEM63A	0.167403	enet	0.053	aa	0.035491
MIXL1	0.280512	susie	0.19	aa	0.137094
LIN9	0.050239	enet	0.0068	aa	0.00419
PARP1	0.112459	lasso	0.045	aa	0.024331
PSEN2	0.043474	top1	0.018	aa	0.013223
JMJD4	0.043176	lasso	-7.6e-4	aa	0.015944
RAB4A	0.078555	top1	0.043	aa	0.030658
NUP133	0.230486	susie	0.14	aa	0.017296
ABCB10	0.188859	susie	0.13	aa	0.057101
C1orf198	0.0817	blup	0.016	aa	0.02117
TTC13	0.260893	top1	0.27	aa	0.051693
ARV1	0.280525	lasso	0.29	aa	0.059071
C1orf131	0.115834	top1	0.021	aa	0.024104
GNPAT	0.020456	lasso	0.0022	aa	0.002305
EXOC8	0.078876	top1	0.04	aa	0.038995
PCNXL2	0.143736	enet	0.071	aa	0.089469
TARBP1	0.285546	enet	0.11	aa	0.055512
GGPS1	0.108113	enet	0.037	aa	0.027594
TBCE	0.348775	susie	0.2	aa	0.098522
B3GALNT2	0.374408	susie	0.41	aa	0.132777
LYST	0.103072	blup	0.011	aa	0.024695
ERO1LB	0.060995	top1	0.04	aa	0.01121
EDARADD	0.240173	susie	0.12	aa	0.140505
MTR	0.232625	enet	0.19	aa	0.04778
KMO	0.400196	enet	0.25	aa	0.125064
