GENE	HSQ	MODEL	MODELCV.R2	POP	VG
RRM2B	0.097534	susie	0.021	ea	0.013973
UBR5	0.354835	enet	0.19	ea	0.092055
KLF10	0.203696	enet	0.14	ea	0.052306
SLC25A32	0.426294	susie	0.41	ea	0.057261
FZD6	0.240721	lasso	0.18	ea	0.143613
DCAF13	0.034187	lasso	0.023	ea	0.009585
ENY2	0.069207	blup	0.036	ea	0.007429
PKHD1L1	0.012542	enet	-0.0018	ea	0.003788
EBAG9	0.048093	blup	0.03	ea	0.006189
SYBU	0.047298	blup	0.025	ea	0.022283
EIF3H	0.121635	susie	0.038	ea	0.013575
UTP23	0.152394	susie	0.11	ea	0.037872
MED30	0.086451	susie	0.029	ea	0.024814
EXT1	0.089235	blup	0.0076	ea	0.030398
SAMD12	0.340904	susie	0.31	ea	0.22344
TNFRSF11B	0.112242	lasso	0.069	ea	0.052603
TAF2	0.099523	susie	0.074	ea	0.009808
DSCC1	0.134678	top1	0.07	ea	0.012656
MTBP	0.124618	top1	0.11	ea	0.006081
SNTB1	0.025308	lasso	0.0022	ea	0.009125
WDYHV1	0.164363	top1	0.1	ea	0.027902
ANXA13	0.009076	enet	-3.5e-4	ea	0.004435
TRMT12	0.146448	top1	0.081	ea	0.042972
MTSS1	0.161518	top1	0.016	ea	0.067047
SQLE	0.070403	enet	0.069	ea	0.022628
FAM49B	0.057935	enet	0.023	ea	0.00802
PHF20L1	0.232507	enet	0.11	ea	0.019171
NDRG1	0.088689	top1	0.047	ea	0.031415
ST3GAL1	0.06161	enet	0.038	ea	0.020673
TRAPPC9	0.12757	enet	0.086	ea	0.036659
CHRAC1	0.078724	blup	0.029	ea	0.014075
TSNARE1	0.193233	susie	0.14	ea	0.065565
JRK	0.059674	top1	0.016	ea	0.019833
C8orf31	0.101412	susie	0.079	ea	0.098332
TOP1MT	0.228391	enet	0.21	ea	0.082248
ZC3H3	0.143627	susie	0.089	ea	0.034568
GSDMD	0.028048	blup	0.0087	ea	0.007356
NAPRT1	0.673974	enet	0.63	ea	0.395695
TSTA3	0.302854	susie	0.19	ea	0.049239
ZNF623	0.208561	top1	0.12	ea	0.056519
PLEC	0.217168	lasso	0.25	ea	0.04254
PARP10	0.207711	lasso	0.26	ea	0.065652
GRINA	0.121997	lasso	0.12	ea	0.019279
CYC1	0.023052	susie	-0.0018	ea	0.003968
CPSF1	0.442807	enet	0.39	ea	0.11567
VPS28	0.294071	susie	0.2	ea	0.087295
ZNF34	0.062059	lasso	0.011	ea	0.023194
RPL8	0.131435	enet	0.078	ea	0.030164
C8orf33	0.001679	blup	8.5e-4	ea	1.95e-4
DOCK8	0.109836	enet	0.049	ea	0.027203
KANK1	0.182082	top1	0.13	ea	0.086069
VLDLR	0.332975	enet	0.18	ea	0.147963
KIAA0020	0.145711	top1	0.13	ea	0.01706
PPAPDC2	0.106595	blup	0.045	ea	0.052597
CDC37L1	0.070143	top1	0.074	ea	0.014405
RCL1	0.167971	top1	0.15	ea	0.047238
RLN1	0.101047	lasso	0.054	ea	0.083873
PDCD1LG2	0.158591	top1	0.091	ea	0.02407
KIAA1432	0.09947	lasso	0.1	ea	0.015824
UHRF2	0.03635	blup	0.0039	ea	0.009715
GLDC	0.167791	enet	0.088	ea	0.066886
KDM4C	0.157498	susie	0.11	ea	0.022435
ZDHHC21	0.224699	susie	0.16	ea	0.02278
TTC39B	0.477413	enet	0.35	ea	0.260779
SNAPC3	0.015135	top1	0.019	ea	0.0033
PSIP1	0.084404	enet	0.018	ea	0.014444
HAUS6	0.118559	enet	0.039	ea	0.011815
PLIN2	0.403066	enet	0.29	ea	0.122957
MLLT3	0.05329	top1	0.011	ea	0.012654
IFT74	0.176564	susie	0.14	ea	0.025065
C9orf72	0.257303	enet	0.13	ea	0.04812
ACO1	0.386476	enet	0.35	ea	0.235003
DDX58	0.150374	enet	0.079	ea	0.019155
APTX	0.055494	top1	0.034	ea	0.008515
NFX1	0.163594	susie	0.13	ea	0.032327
NOL6	0.258256	enet	0.2	ea	0.020965
UBE2R2	0.129339	susie	0.11	ea	0.019701
UBAP2	0.030389	blup	0.0073	ea	0.004925
UBAP1	0.153709	susie	0.12	ea	0.026562
NUDT2	0.582957	susie	0.47	ea	0.196539
IL11RA	0.166886	susie	0.12	ea	0.072323
DNAJB5	0.014164	top1	0.0013	ea	0.007289
FANCG	0.06408	blup	0.013	ea	0.006162
PIGO	0.039603	blup	0.016	ea	0.006758
UNC13B	0.153464	susie	0.12	ea	0.112542
TPM2	0.089202	enet	0.0052	ea	0.046355
TLN1	0.203605	susie	0.12	ea	0.029025
GBA2	0.135912	top1	0.2	ea	0.023309
TMEM8B	0.059143	blup	0.023	ea	0.010612
CLTA	0.073985	susie	0.054	ea	0.016147
GNE	0.069635	blup	0.014	ea	0.018678
ZCCHC7	0.059408999999999997	blup	0.0052	ea	0.008028
POLR1E	0.204848	top1	0.21	ea	0.04117
FRMPD1	0.085616	blup	0.037	ea	0.039877
PIP5K1B	0.022121	lasso	0.03	ea	0.008326
FXN	0.036598	top1	0.0088	ea	0.007008
TJP2	0.090933	susie	0.082	ea	0.0185
ANXA1	0.207552	susie	0.1	ea	0.138234
OSTF1	0.646575	susie	0.62	ea	0.204042
RFK	0.119752	top1	0.032	ea	0.039148
TLE4	0.090284	lasso	0.035	ea	0.022774
HNRNPK	0.174171	susie	0.11	ea	0.050612
AGTPBP1	0.126595	susie	0.073	ea	0.015536
GOLM1	0.128982	lasso	0.031	ea	0.052188
ISCA1	0.007758	top1	-6e-4	ea	0.002131
DAPK1	0.145303	top1	0.054	ea	0.09763
SYK	0.106933	blup	0.044	ea	0.023578000000000002
SPTLC1	0.056453	top1	0.031	ea	0.005143
IARS	0.096515	top1	0.08	ea	0.013303
NOL8	0.078749	top1	0.048	ea	0.009268
CENPP	0.132077	top1	0.069	ea	0.011974
ECM2	0.136252	susie	0.094	ea	0.075253
IPPK	0.287664	enet	0.17	ea	0.045947
BICD2	0.147948	blup	0.075	ea	0.042944
FGD3	0.230723	top1	0.11	ea	0.056128
C9orf89	0.458576	susie	0.26	ea	0.217509
FAM120AOS	0.181007	enet	0.29	ea	0.06785
ZNF169	0.060238	top1	0.0027	ea	0.024613
HIATL1	0.301295	susie	0.26	ea	0.048723
C9orf3	0.085605	enet	0.038	ea	0.023001
SLC35D2	0.032649	lasso	0.002	ea	0.014493
HABP4	0.245045	top1	0.32	ea	0.059528
CDC14B	0.090611	top1	0.082	ea	0.043757
ZNF510	0.056859	top1	0.034	ea	0.008116
ZNF782	0.021256	blup	-0.002	ea	0.003883
TDRD7	0.066588	susie	0.028	ea	0.012128
TMOD1	0.214894	top1	0.11	ea	0.089384
C9orf156	0.084806	lasso	0.051	ea	0.021172
TRIM14	0.040111	lasso	0.022	ea	0.016204
CORO2A	0.322138	susie	0.27	ea	0.19156
ALG2	0.255242	susie	0.18	ea	0.062268
STX17	0.136882	susie	0.14	ea	0.015619
INVS	0.070056	susie	0.067	ea	0.011637
TEX10	0.317508	lasso	0.15	ea	0.041259
ALDOB	0.125575	lasso	0.12	ea	0.070572
SMC2	0.184229	top1	0.2	ea	0.011383
NIPSNAP3A	0.050505	lasso	0.0054	ea	0.01331
TMEM38B	0.296787	susie	0.37	ea	0.081551
ZNF462	0.075552	enet	0.054	ea	0.042275
RAD23B	0.065044	susie	0.013	ea	0.016767
IKBKAP	0.23622	enet	0.16	ea	0.022631
CTNNAL1	0.27397	susie	0.21	ea	0.056523
PALM2-AKAP2	0.099099	lasso	0.092	ea	0.048193
PTGR1	0.187836	blup	0.072	ea	0.082277
SUSD1	0.240919	top1	0.2	ea	0.075251
HSDL2	0.18348	lasso	0.18	ea	0.033315
ALAD	0.272912	susie	0.11	ea	0.084948
SLC31A2	0.300378	enet	0.16	ea	0.164515
SLC31A1	0.071585	enet	0.027	ea	0.023636
CDC26	0.007147	lasso	0.0023	ea	0.001884
PRPF4	0.119042	top1	0.082	ea	0.010547
WDR31	0.139016	susie	0.11	ea	0.102285
BSPRY	0.066694	top1	0.067	ea	0.031222
HDHD3	0.029913	top1	0.037	ea	0.016568
C9orf43	0.311291	susie	0.29	ea	0.160581
AKNA	0.216625	lasso	0.11	ea	0.034698
C9orf91	0.235918	susie	0.1	ea	0.063948
DEC1	0.274299	enet	0.25	ea	0.20535
ASTN2	0.091797	blup	0.0079	ea	0.032416
TRIM32	0.1717	susie	0.13	ea	0.065052
CDK5RAP2	0.197374	susie	0.11	ea	0.014785
MEGF9	0.139999	susie	0.15	ea	0.055245
FBXW2	0.042329	lasso	0.0032	ea	0.003172
PHF19	0.093209	susie	0.059	ea	0.017943
TRAF1	0.12667	blup	0.036	ea	0.017703
C5	0.089674	lasso	0.1	ea	0.020882
RAB14	0.037303	susie	0.011	ea	0.007376
STOM	0.107287	top1	0.11	ea	0.048542
TTLL11	0.075261	susie	0.058	ea	0.030489
NDUFA8	0.327107	enet	0.27	ea	0.037421
PTGS1	0.09585	blup	0.012	ea	0.053031
ZBTB6	0.064895	blup	0.015	ea	0.020622
RABGAP1	0.045009	lasso	0.051	ea	0.004083
ARPC5L	0.048285	lasso	0.011	ea	0.003328
GOLGA1	0.030359	blup	0.014	ea	0.003586
PPP6C	0.019493	enet	0.0084	ea	0.001197
RABEPK	0.033485	blup	0.0073	ea	0.00565
PBX3	0.109933	top1	0.14	ea	0.021218
ZBTB43	0.016794	enet	-2.5e-4	ea	0.003612
GARNL3	0.036045	lasso	0.023	ea	0.016047
SLC2A8	0.177631	enet	0.2	ea	0.06228
ZNF79	0.181785	top1	0.21	ea	0.038996
LRSAM1	0.021597	susie	8.2e-6	ea	0.004098
SH2D3C	0.039677	blup	0.0069	ea	0.01054
FPGS	0.104468	lasso	0.078	ea	0.016948
ENG	0.019992	lasso	-0.0018	ea	0.008469
ST6GALNAC6	0.099759	susie	0.034	ea	0.022001
ST6GALNAC4	0.101213	lasso	0.1	ea	0.025657
DNM1	0.135737	enet	0.035	ea	0.046184
GOLGA2	0.008326	top1	-0.0016	ea	0.001981
TRUB2	0.304623	susie	0.22	ea	0.069576
URM1	0.015671	lasso	0.0023	ea	0.002895
WDR34	0.070329	blup	0.0031	ea	0.019494
SET	0.006517	top1	-6.8e-4	ea	0.001355
PKN3	0.136615	susie	0.12	ea	0.03786
TBC1D13	0.115743	susie	0.12	ea	0.019147
C9orf114	0.103249	top1	0.071	ea	0.018575
CCBL1	0.05625	top1	0.047	ea	0.014811
LRRC8A	0.047724	susie	0.0087	ea	0.012955
SH3GLB2	0.033728	top1	0.03	ea	0.012769
CRAT	0.082241	susie	0.1	ea	0.029408
PPP2R4	0.11706	enet	0.093	ea	0.012706
TOR1B	0.121714	blup	0.033	ea	0.020293
TOR1A	0.229332	susie	0.16	ea	0.021009
C9orf78	0.208771	susie	0.17	ea	0.042207
NUP214	0.058489	susie	0.0073	ea	0.003369
GTF3C4	0.023302	blup	0.0012	ea	0.005069
SURF6	0.111812	top1	0.053	ea	0.042237
VAV2	0.308736	enet	0.16	ea	0.052867
BRD3	0.045905	lasso	0.0061	ea	0.013601
UBAC1	0.010913	top1	-5.3e-4	ea	0.00108
QSOX2	0.278284	lasso	0.18	ea	0.076216
CARD9	0.247415	susie	0.14	ea	0.039238
SNAPC4	0.147736	enet	0.11	ea	0.03202
SDCCAG3	0.062433	blup	0.028	ea	0.016691
INPP5E	0.130221	lasso	0.14	ea	0.048617
SNHG7	0.007608	susie	0.0025	ea	0.004272
TMEM141	0.145964	enet	0.054	ea	0.045829
ABCA2	0.151317	top1	0.086	ea	0.062043
ENTPD2	0.175834	susie	0.14	ea	0.081272
UAP1L1	0.195615	enet	0.11	ea	0.033542
DPP7	0.103201	susie	0.11	ea	0.026236
ARRDC1	0.148017	top1	0.066	ea	0.066214
C9orf37	0.087267	susie	0.052	ea	0.0215
EHMT1	0.005288	lasso	0.011	ea	0.001322
DIP2C	9.9e-4	top1	0.013	ea	6.92e-4
LARP4B	0.122925	lasso	0.08	ea	0.052655
GTPBP4	0.139313	enet	0.04	ea	0.010981
IDI1	0.129948	enet	0.019	ea	0.025984
WDR37	0.011929	blup	-0.002	ea	0.002038
PFKP	0.295382	susie	0.15	ea	0.069122
KLF6	0.09961	top1	0.032	ea	0.020712
AKR1E2	0.022787	top1	-4.8e-4	ea	0.019242
NET1	0.036723	enet	0.0046	ea	0.008372
ASB13	0.050113	blup	0.0089	ea	0.02684
GDI2	0.154724	susie	0.1	ea	0.015979
ANKRD16	0.08062	top1	0.0084	ea	0.023322
IL15RA	0.262498	enet	0.13	ea	0.030772
IL2RA	0.070696	lasso	0.03	ea	0.020661
KIN	0.104733	lasso	0.023	ea	0.009521
ATP5C1	0.111678	blup	0.052	ea	0.028434
ECHDC3	0.211304	lasso	0.17	ea	0.112064
UPF2	0.021573	enet	0.0059	ea	0.002283
DHTKD1	0.237865	top1	0.14	ea	0.076016
SEC61A2	0.232701	susie	0.15	ea	0.047524
NUDT5	0.462148	susie	0.41	ea	0.091111
PHYH	0.283152	enet	0.23	ea	0.095039
PRPF18	0.129478	top1	0.066	ea	0.014312
FRMD4A	0.223054	top1	0.13	ea	0.115813
FAM107B	0.160364	blup	0.064	ea	0.041687
C10orf111	0.086336	susie	0.036	ea	0.067991
NMT2	0.090748	susie	0.01	ea	0.025067
PTER	0.43542	enet	0.34	ea	0.114138
TRDMT1	0.123794	top1	0.11	ea	0.028401
NSUN6	0.162286	lasso	0.073	ea	0.017811
PLXDC2	0.441443	susie	0.28	ea	0.17628
MLLT10	0.035138	top1	0.046	ea	0.003957
SPAG6	0.060208	top1	0.042	ea	0.032954
PIP4K2A	0.059174	lasso	0.04	ea	0.013289
MSRB2	0.05575	blup	0.027	ea	0.014563
KIAA1217	0.34252	susie	0.28	ea	0.157118
PRTFDC1	0.14626	blup	0.042	ea	0.057637
THNSL1	0.11237	top1	0.065	ea	0.065983
MYO3A	0.086436	susie	0.085	ea	0.05094
APBB1IP	0.137287	top1	0.07	ea	0.045105
PDSS1	0.102262	top1	0.061	ea	0.009275
ABI1	0.095585	lasso	0.029	ea	0.010351
ANKRD26	0.511926	blup	0.38	ea	0.084059
YME1L1	0.031842	blup	0.01	ea	0.004017
MASTL	0.11151	enet	0.082	ea	0.025194
ACBD5	0.135882	enet	0.12	ea	0.019036
RAB18	0.003588	susie	6.2e-4	ea	3.02e-4
MPP7	0.171362	enet	0.07	ea	0.068136
MTPAP	0.31395	susie	0.3	ea	0.033966
MAP3K8	0.166198	lasso	0.077	ea	0.02468
ZNF438	0.14013	blup	0.059	ea	0.048042
ARHGAP12	0.206849	enet	0.093	ea	0.03345
KIF5B	0.010169	top1	0.018	ea	9.58e-4
EPC1	0.004187	lasso	0.01	ea	6.41e-4
C10orf68	0.29993	susie	0.33	ea	0.074232
ITGB1	0.082447	enet	0.041	ea	0.0322
CUL2	0.166075	blup	0.12	ea	0.012918
CREM	0.191624	enet	0.17	ea	0.054725
ZNF248	0.006495	lasso	0.0011	ea	7.5e-4
ZNF33A	0.312307	lasso	0.12	ea	0.072827
ZNF37A	0.309554	enet	0.33	ea	0.159212
HSD17B7P2	0.490699	susie	0.53	ea	0.223732
ZNF37BP	0.197846	top1	0.17	ea	0.050451
RET	0.059763	blup	0.044	ea	0.011936
CSGALNACT2	0.113249	susie	0.11	ea	0.017669
ZNF239	0.357152	enet	0.19	ea	0.246462
RASSF4	0.231898	blup	0.14	ea	0.05207
C10orf10	0.042137	lasso	0.022	ea	0.018152
OR13A1	0.048543	top1	0.018	ea	0.034521
ALOX5	0.111892	susie	0.14	ea	0.040282
MARCH8	0.136618	susie	0.1	ea	0.045699
FRMPD2	0.074089	enet	0.038	ea	0.020189
MAPK8	0.032931	enet	0.004	ea	0.005886
ARHGAP22	0.186572	blup	0.053	ea	0.101925
OGDHL	0.368517	enet	0.27	ea	0.256107
CSTF2T	0.104346	top1	0.076	ea	0.015743
ZWINT	0.004953	lasso	0.02	ea	3.94e-4
CISD1	0.240507	enet	0.27	ea	0.056299
UBE2D1	0.139203	top1	0.092	ea	0.026452
TFAM	0.241542	enet	0.2	ea	0.020596
SLC16A9	0.429793	susie	0.34	ea	0.206765
CCDC6	0.121461	enet	0.079	ea	0.035676
ANK3	0.281459	susie	0.32	ea	0.17471
RTKN2	0.080323	top1	0.027	ea	0.056747
SIRT1	0.149663	susie	0.15	ea	0.022569
HERC4	0.085375	top1	0.065	ea	0.008957
PBLD	0.037903	blup	0.021	ea	0.017305
CCAR1	0.096145	top1	0.053	ea	0.006534
STOX1	0.17098	top1	0.2	ea	0.134674
KIAA1279	0.108163	top1	0.072	ea	0.017185
SRGN	0.098121	blup	0.032	ea	0.012706
SUPV3L1	0.072881	blup	0.014	ea	0.011265
AIFM2	0.196814	enet	0.16	ea	0.03339
SAR1A	0.211411	enet	0.13	ea	0.049884
PPA1	0.253597	enet	0.2	ea	0.086126
PCBD1	0.176826	susie	0.12	ea	0.039992
SLC29A3	0.238033	blup	0.04	ea	0.109592
C10orf54	0.008241	top1	0.011	ea	0.002887
PSAP	0.102489	blup	0.024	ea	0.035924
CHST3	0.206757	enet	0.16	ea	0.107806
SPOCK2	0.052716	susie	0.061	ea	0.022913
ASCC1	0.048132	blup	0.015	ea	0.00692
P4HA1	0.104644	top1	0.071	ea	0.013121
ECD	0.195825	susie	0.31	ea	0.025966
FAM149B1	0.063649	susie	0.07	ea	0.017576
MRPS16	0.063638	susie	0.1	ea	0.008806
TTC18	0.006149	top1	0.0094	ea	0.003112
USP54	0.02229	top1	0.021	ea	0.006643
CAMK2G	0.07171	enet	0.041	ea	0.017901
VCL	0.018814	top1	0.031	ea	0.005082
ADK	0.024623	lasso	7.3e-4	ea	0.004658
KCNMA1	0.056293	enet	0.016	ea	0.020546
POLR3A	0.015951	lasso	0.0099	ea	0.001671
RPS24	0.081013	susie	0.022	ea	0.014639
PPIF	0.014583	enet	0.0016	ea	0.00195
GHITM	0.117875	lasso	0.031	ea	0.013565
RNLS	0.120558	enet	0.089	ea	0.037894
STAMBPL1	0.261244	top1	0.25	ea	0.075668
ACTA2	0.526268	enet	0.43	ea	0.27047
LIPA	0.035795	top1	0.081	ea	0.008657
IFIT3	0.031547	top1	0.02	ea	0.008438
IFIT1	0.108499	susie	0.11	ea	0.023289
IFIT5	0.147087	lasso	0.12	ea	0.027809
KIF20B	0.079759	top1	0.056	ea	0.004513
BTAF1	0.053059	susie	0.046	ea	0.004941
MARCH5	0.031976	lasso	0.032	ea	0.006587
IDE	0.178582	lasso	0.12	ea	0.017602
EXOC6	0.044492	lasso	0.0024	ea	0.006216
MYOF	0.148108	top1	0.033	ea	0.086285
FRA10AC1	0.430507	enet	0.42	ea	0.092342
NOC3L	0.052532	top1	0.015	ea	0.005329
HELLS	0.107985	susie	0.13	ea	0.007238
PDLIM1	0.305882	susie	0.19	ea	0.115672
ALDH18A1	0.179913	susie	0.18	ea	0.025945
TCTN3	0.221743	enet	0.14	ea	0.064221
PIK3AP1	0.080739	susie	0.0069	ea	0.022734
SLIT1	0.077554	enet	0.054	ea	0.026813
RRP12	0.124752	top1	0.14	ea	0.013697
EXOSC1	0.067431	top1	0.02	ea	0.010835
MORN4	0.316372	lasso	0.2	ea	0.167382
PYROXD2	0.079416	blup	0.0043	ea	0.040771
HPS1	0.152528	top1	0.093	ea	0.041822
GOT1	0.02406	enet	0.0025	ea	0.003655
COX15	0.05583	blup	0.019	ea	0.007701
ABCC2	0.108129	blup	0.046	ea	0.052792
ERLIN1	0.616136	top1	0.48	ea	0.141118
CWF19L1	0.123382	susie	0.061	ea	0.009073
BLOC1S2	0.381009	susie	0.32	ea	0.127922
SEC31B	0.158189	susie	0.27	ea	0.043188
HIF1AN	0.102088	top1	0.15	ea	0.009795
FAM178A	0.095154	susie	0.076	ea	0.009897
MRPL43	0.504102	enet	0.58	ea	0.156239
BTRC	0.075844	blup	0.015	ea	0.011473
DPCD	0.022014	top1	0.005	ea	0.008866
C10orf76	0.055591	top1	0.0021	ea	0.015363
LDB1	0.043304	top1	0.022	ea	0.011832
NOLC1	0.044786	lasso	0.056	ea	0.003304
TMEM180	0.194814	enet	0.13	ea	0.14348
ACTR1A	0.067507	susie	0.05	ea	0.009889
TRIM8	0.103905	blup	0.046	ea	0.019518
SFXN2	0.791815	enet	0.57	ea	0.357052
USMG5	0.278006	susie	0.22	ea	0.086983
PDCD11	0.072921	susie	0.029	ea	0.006754
CALHM2	0.104893	top1	0.03	ea	0.046128
OBFC1	0.224203	enet	0.15	ea	0.054298
SLK	0.252252	susie	0.17	ea	0.045663
GSTO1	0.512708	top1	0.5	ea	0.235685
XPNPEP1	0.050647	top1	0.038	ea	0.019933
MXI1	0.050949	lasso	0.0087	ea	0.007453
GPAM	0.217907	top1	0.13	ea	0.025956
ZDHHC6	0.399529	enet	0.22	ea	0.079542
ADRB1	0.100067	blup	0.038	ea	0.033641
TRUB1	4.81e-4	top1	0.0093	ea	1.76e-4
PDZD8	0.018861	top1	-6.8e-4	ea	0.00325
SFXN4	0.025436	blup	5e-4	ea	0.002846
RGS10	0.022232	top1	0.021	ea	0.004989
SEC23IP	0.044494	top1	0.021	ea	0.002666
ATE1	0.211977	blup	0.073	ea	0.02878
PLEKHA1	0.284177	top1	0.24	ea	0.147166
C10orf88	0.073741	top1	0.034	ea	0.009899
IKZF5	0.0769	blup	0.011	ea	0.007376
BUB3	0.011903	top1	0.019	ea	0.001694
OAT	0.208763	susie	0.14	ea	0.164662
LHPP	0.34531	susie	0.14	ea	0.189234
UROS	0.347164	enet	0.38	ea	0.07127
DHX32	0.224442	top1	0.26	ea	0.058347
MKI67	0.167283	top1	0.042	ea	0.01103
MGMT	0.224848	susie	0.24	ea	0.102492
GLRX3	0.205608	top1	0.14	ea	0.097039
BNIP3	0.032155	blup	-2.1e-4	ea	0.004912
DPYSL4	0.400438	enet	0.41	ea	0.215571
LRRC27	0.275608	top1	0.17	ea	0.13989
ADAM8	0.16113	susie	0.14	ea	0.050507
TUBGCP2	0.144519	top1	0.12	ea	0.03689
ECHS1	0.188092	susie	0.11	ea	0.031232
PAOX	0.044627	top1	0.0068	ea	0.012793
BET1L	0.284063	susie	0.25	ea	0.084998
RIC8A	0.250274	top1	0.14	ea	0.039718
SIRT3	0.192899	top1	0.13	ea	0.058831
PSMD13	0.282473	enet	0.27	ea	0.06116
ATHL1	0.092631	enet	0.028	ea	0.037602
IFITM2	0.400496	enet	0.28	ea	0.263576
SIGIRR	0.163348	top1	0.11	ea	0.059328
RNH1	0.283763	lasso	0.26	ea	0.059531
RASSF7	0.109732	lasso	0.059	ea	0.053951
IRF7	0.071198	top1	0.043	ea	0.014579
DEAF1	0.234052	enet	0.22	ea	0.043453
EPS8L2	0.053284	lasso	0.01	ea	0.016519
PDDC1	0.091836	top1	0.043	ea	0.015699
CEND1	0.0682	top1	0.07	ea	0.025034
PNPLA2	0.059354	enet	0.034	ea	0.016814
CD151	0.551656	enet	0.55	ea	0.247042
POLR2L	0.115235	enet	0.093	ea	0.047146
TSPAN4	0.090797	blup	0.025	ea	0.022181
CHID1	0.037398	top1	0.017	ea	0.005684
AP2A2	0.228295	top1	0.17	ea	0.054457
TSPAN32	0.124178	susie	0.1	ea	0.068505
NAP1L4	0.063787	blup	0.0045	ea	0.006777
ZNF195	0.220476	top1	0.17	ea	0.065177
PGAP2	0.113921	blup	0.028	ea	0.025755
TRIM21	0.130637	enet	0.011	ea	0.01887
TRIM68	0.17557	susie	0.078	ea	0.054003
TRIM5	0.15823	susie	0.16	ea	0.023983
OR56B1	0.166891	susie	0.29	ea	0.096097
OR52N4	0.117708	susie	0.22	ea	0.058868
OR52N2	0.04804	top1	0.035	ea	0.037943
OR52L1	0.002563	blup	0.0089	ea	0.001799
TPP1	0.115363	top1	0.09	ea	0.019246
MRPL17	0.060434	top1	0.008	ea	0.014508
OR6A2	0.552557	enet	0.42	ea	0.38144
OR2D2	0.564876	lasso	0.45	ea	0.370429
ZNF215	0.367953	top1	0.32	ea	0.164497
ZNF214	0.094487	top1	0.074	ea	0.062954
NLRP14	0.179089	susie	0.18	ea	0.125197
PPFIBP2	0.022524	top1	0.048	ea	0.007149
RIC3	0.103741	enet	0.011	ea	0.070915
STK33	0.386134	enet	0.16	ea	0.181117
ST5	0.078101	susie	0.019	ea	0.027485
DENND5A	0.125074	top1	0.09	ea	0.021179
ZNF143	0.18543	top1	0.15	ea	0.043122
SWAP70	0.385972	enet	0.27	ea	0.162757
AMPD3	0.485664	enet	0.25	ea	0.189232
RNF141	0.430374	enet	0.3	ea	0.121915
ARNTL	0.122018	enet	0.13	ea	0.03742
COPB1	0.037129	lasso	-0.0013	ea	0.004886
CALCA	0.100562	top1	0.013	ea	0.04088
PLEKHA7	0.149824	enet	0.059	ea	0.059871
PIK3C2A	0.509342	enet	0.63	ea	0.156557
NUCB2	0.144228	top1	0.14	ea	0.043545
SERGEF	0.103991	lasso	0.063	ea	0.020603
TPH1	0.08261	blup	0.035	ea	0.025426
SAAL1	0.332367	susie	0.39	ea	0.036464
HPS5	0.196277	susie	0.14	ea	0.02637
GTF2H1	0.217405	lasso	0.23	ea	0.035819
LDHC	0.471375	susie	0.43	ea	0.42077
TSG101	0.43974800000000003	lasso	0.45	ea	0.089097
UEVLD	0.050531	top1	0.056	ea	0.004321
ZDHHC13	0.271067	susie	0.21	ea	0.041211
E2F8	0.011368	top1	0.0095	ea	8.36e-4
PRMT3	0.147855	top1	0.067	ea	0.006645
FANCF	0.032827	top1	0.031	ea	0.005166
CCDC34	0.008117	top1	0.0033	ea	0.001419
LGR4	0.130664	blup	0.065	ea	0.094353
LIN7C	0.147293	susie	0.14	ea	0.032384
DNAJC24	0.023124	blup	0.0082	ea	0.00282
IMMP1L	0.040014	blup	0.016	ea	0.00644
RCN1	0.153387	susie	0.11	ea	0.053191
QSER1	0.1448	enet	0.041	ea	0.017889
DEPDC7	0.01783	top1	0.0031	ea	0.006234
TCP11L1	0.245168	enet	0.19	ea	0.049488
CD59	0.166828	susie	0.1	ea	0.054462000000000003
CAT	0.199887	enet	0.18	ea	0.066376
APIP	0.549737	enet	0.66	ea	0.221022
PDHX	0.139094	top1	0.12	ea	0.020899
C11orf74	0.012703	susie	0.0018	ea	0.007477
HSD17B12	0.046537	susie	0.0076	ea	0.006784
ACCS	0.495579	enet	0.35	ea	0.395795
EXT2	0.213075	susie	0.085	ea	0.065414
HARBI1	0.115407	blup	-8.7e-4	ea	0.04219
ATG13	0.045255	top1	0.02	ea	0.004708
ARFGAP2	0.249049	enet	0.11	ea	0.035771
NUP160	0.090447	top1	0.016	ea	0.006502
ACP2	0.138886	top1	0.19	ea	0.025108
NR1H3	0.052793	blup	0.022	ea	0.025828
MADD	0.191715	enet	0.072	ea	0.042038
SLC39A13	0.080681	enet	0.071	ea	0.028023
NDUFS3	0.024478	top1	0.023	ea	0.003904
MTCH2	0.099861	susie	0.11	ea	0.009617
AGBL2	0.016377	lasso	0.011	ea	0.004168
OR5L2	0.004482	susie	9.4e-4	ea	0.003498
TNKS1BP1	0.051694	top1	0.028	ea	0.011995
TIMM10	0.447628	enet	0.38	ea	0.102179
MED19	0.088273	top1	0.054	ea	0.026719
LPXN	0.28609	blup	0.15	ea	0.107702
ZFP91	0.082005	blup	0.034	ea	0.009219
MS4A6E	0.076287	top1	0.065	ea	0.039798
MS4A14	0.13652	susie	0.12	ea	0.026502
MS4A1	0.012054	susie	0.0012	ea	0.002362
TMEM132A	0.068906	top1	0.044	ea	0.016003
SLC15A3	0.059828	enet	0.011	ea	0.018592
CD6	0.078281	enet	0.014	ea	0.029553
DAK	2.71e-4	lasso	0.0027	ea	2.06e-4
TMEM216	0.139134	susie	0.15	ea	0.039869
FADS2	0.108044	lasso	0.053	ea	0.046426
